Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Quantity,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
Rojo con gris y suela blanca 9,Jordan,112,2507145991144,pcs,550,0,850.0,0,1,1,1,0,1,Rojo con gris y suela blanca 9,0,,,,,
negro 9,Adidas,113,2507418809894,pcs,550,0,850.0,0,1,1,1,0,1,negro 9,1,,,,,
negro con blanco 9,Adidas,114,2507471443038,pcs,550,0,850.0,0,1,1,1,0,1,negro con blanco 9,1,,,,,
blanco con palama negra 8,Nike,115,2507854192236,pcs,550,0,850.0,0,1,1,1,0,1,blanco con palama negra 8,0,,,,,
Negro con paloma blanca 8,Jordan,116,2507462227173,pcs,550,0,850.0,0,1,1,1,0,1,Negro con paloma blanca 8,0,,,,,
azul con suela negra con blanco 8,Jordan,117,2507584017224,pcs,550,0,850.0,0,1,1,1,0,1,azul con suela negra con blanco 8,1,,,,,
rojo con blamco y paloma negra 8,Jordan,118,2507884090539,pcs,550,0,850.0,0,1,1,1,0,1,rojo con blamco y paloma negra 8,1,,,,,
Amarillo con negro 8,Jordan,119,2507322907688,pcs,550,0,850.0,0,1,1,1,0,1,Amarillo con negro 8,1,,,,,
Amarillo blanco y paloma negra 7.5,Jordan,120,2507939160540,pcs,550,0,850.0,0,1,1,1,0,1,Amarillo blanco y paloma negra 7.5,0,,,,,
Arena 7.5,Jordan,121,2507401673367,pcs,550,0,850.0,0,1,1,1,0,1,Arena 7.5,0,,,,,
Negro con Dorado 7.5,Jordan,122,2507244484191,pcs,550,0,850.0,0,1,1,1,0,1,Negro con Dorado 7.5,1,,,,,
Rojon con suela negra 7.5,Jordan,123,2507308614095,pcs,550,0,850.0,0,1,1,1,0,1,Rojon con suela negra 7.5,1,,,,,
Gris 7.5,Jordan,124,2507995720187,pcs,550,0,850.0,0,1,1,1,0,1,Gris 7.5,1,,,,,
Negro con amarilo 7.5,Jordan,125,2507858464246,pcs,550,0,850.0,0,1,1,1,0,1,Negro con amarilo 7.5,0,,,,,
Gris con blanco 6.5,Nike,127,2507411478833,pcs,550,0,850.0,0,1,1,1,0,1,Gris con blanco 6.5,1,,,,,
Blanco con Dorado 6.5,Jordan,128,2507755507480,pcs,550,0,850.0,0,1,1,1,0,1,Blanco con Dorado 6.5,1,,,,,
Negros 6.5,Jordan,129,2507742003886,pcs,550,0,850.0,0,1,1,1,0,1,Negros 6.5,1,,,,,
gris con  verde 6.5,Jordan,130,2507746196686,pcs,550,0,850.0,0,1,1,1,0,1,gris con  verde 6.5,1,,,,,
blanco 6.5,Nike,131,2507975272892,pcs,550,0,850.0,0,1,1,1,0,1,blanco 6.5,1,,,,,
azul con suela blanca 6.5,Nike,132,2507599202790,pcs,550,0,850.0,0,1,1,1,0,1,azul con suela blanca 6.5,1,,,,,
Gris con suela  blanca 6.5,Jordan,133,2507435968844,pcs,550,0,850.0,0,1,1,1,0,1,Gris con suela  blanca 6.5,1,,,,,
Blancos con suela blanca 6.5,Vans,134,2507284258730,pcs,550,0,850.0,0,1,1,1,0,1,Blancos con suela blanca 6.5,0,,,,,
Negros con suela balnca 6,Jordan,135,2507800766936,pcs,550,0,850.0,0,1,1,1,0,1,Negros con suela balnca 6,1,,,,,
Negrro con colores 6,Jordan,136,2507596639370,pcs,550,0,850.0,0,1,1,1,0,1,Negrro con colores 6,1,,,,,
arena 6,Jordan,138,2507873125095,pcs,550,0,850.0,0,1,1,1,0,1,arena 6,0,,,,,
Rojo con  negro 6,Jordan,139,2507309147441,pcs,550,0,850.0,0,1,1,1,0,1,Rojo con  negro 6,1,,,,,
Blanco con azules 6,Jordan,141,2507967260028,pcs,550,0,850.0,0,1,1,1,0,1,Blanco con azules 6,1,,,,,
Coll Med cora,Producto,31,2507699818121,pcs,11.5,5,20.0,0,1,0,1,0,1,Coll Med cora,6,,,,,
Collares Santa muerte,Producto,,2507758687370,pcs,11.5,0,38.0,0,1,0,1,0,1,Collares Santa muerte,3,,,,,
militar 3.5,Jordan,144,2507305423565,pcs,550,0,850.0,0,1,1,1,0,1,militar 5,1,,,,,
Negro con letras 5,Jordan,145,2507685260982,pcs,550,0,850.0,0,1,1,1,0,1,Negro con letras 5,1,,,,,
Negro 5,Jordan,146,2507808110834,pcs,550,0,850.0,0,1,1,1,0,1,Negro 5,1,,,,,
Negro con rojo 6,Jordan,147,2507114633678,pcs,550,0,850.0,0,1,1,1,0,1,Negro con rojo 5,0,,,,,
CUERDA ELASTICA AMARILLA 100cm,Producto,513,2507257117557,pcs,7.9,343.038,35.0,0,1,0,1,0,1,Cuerda Elastica Amarilla 100cm,2,,1,3,1,2
Blanco con negro  5,Adidas,149,4055012260252,pcs,550,0,850.0,0,1,1,1,0,1,Blanco con negro  5,1,,,,,
Azul con suela blanca 5,Nike,150,2507829463228,pcs,550,0,850.0,0,1,1,1,0,1,Azul con suela blanca 5,1,,,,,
colorido 4,Nike,151,2507402868196,pcs,550,0,850.0,0,1,1,1,0,1,colorido 4,1,,,,,
CUERDA ELASTICA VERDE 85cm,Producto,514,2507802970439,pcs,7.9,279.7468,30.0,0,1,0,1,0,1,Cuerda Elastica Verde 85cm,1,,,,,
Blanco con negroy azul 4,Jordan,153,2507924802060,pcs,550,0,850.0,0,1,1,1,0,1,Blanco con negroy azul 4,1,,,,,
Blanco con fig de piedritas 4,Jordan,154,2507865844105,pcs,550,0,850.0,0,1,1,1,0,1,Blanco con fig de piedritas 4,0,,,,,
gris con rayas de colores 4,Nike,155,2507363168909,pcs,550,0,850.0,0,1,1,1,0,1,gris con rayas de colores 4,1,,,,,
Blanco con lila 4,Nike,156,2507175942950,pcs,550,0,850.0,0,1,1,1,0,1,Blanco con lila 4,1,,,,,
Rojo con palama rosa y blanco 4,Nike,157,2507069248308,pcs,550,0,850.0,0,1,1,1,0,1,Rojo con palama rosa y blanco 4,1,,,,,
Blanco con rosa 4,Nike,158,2507717914293,pcs,550,0,850.0,0,1,1,1,0,1,Blanco con rosa 4,1,,,,,
gris con suela negra y amarilla 4,Jordan,159,2507265811419,pcs,550,0,850.0,0,1,1,1,0,1,gris con suela negra y amarilla 4,1,,,,,
Blanco con figuras 3.5,Nike,160,2507932266973,pcs,550,0,850.0,0,1,1,1,0,1,Blanco con figuras 3.5,1,,,,,
Blanco  con rojo 3.5,Nike,161,2507078625594,pcs,550,0,850.0,0,1,1,1,0,1,Blanco  con rojo 3.5,1,,,,,
Blanco con negro y gris 3.5,Nike,162,2507983095556,pcs,550,0,850.0,0,1,1,1,0,1,Blanco con negro y gris 3.5,0,,,,,
Rojos con suela gris y negra 3.5,Nike,164,2507155969156,pcs,550,0,850.0,0,1,1,1,0,1,Rojos con suela gris y negra 3.5,1,,,,,
Azules 3.5,Nike,165,2507332100348,pcs,550,0,850.0,0,1,1,1,0,1,Azules 3.5,1,,,,,
Rojos con olitas en la suela 3.5,MEX,166,2507290137511,pcs,550,0,850.0,0,1,1,1,0,1,Rojos con olitas en la suela 3.5,1,,,,,
Negro con surela blanca 3.5,Jordan,167,2507408886364,pcs,550,0,850.0,0,1,1,1,0,1,Negro con surela blanca 3.5,1,,,,,
Morada con gris y  bLANCO 3.5,Nike,168,2507571887136,pcs,550,0,850.0,0,1,1,1,0,1,Morada con gris y  bLANCO 3.5,1,,,,,
Llavero piel fantasma,Producto,,2507071637329,1,120,0,120.0,0,1,0,1,0,1,Llavero piel fantasma,1,,,,,
Verde fuerta con suela blanca 3.5,Jordan,170,2507176675615,pcs,550,0,850.0,0,1,1,1,0,1,Verde fuerta con suela blanca 3.5,1,,,,,
azules con su blanca 2.5,Nike,171,2507978553627,pcs,550,0,850.0,0,1,1,1,0,1,azules con su blanca 2.5,0,,,,,
verde fuerta con suela negra 2.5,Jordan,173,2507720756948,pcs,550,0,850.0,0,1,1,1,0,1,verde fuerta con suela negra 2.5,1,,,,,
OFERTAS x,x,176,2507185638365,pcs,150,0,250.0,0,1,1,1,0,1,OFERTAS x,14,,14,0,0,0
Llaveros  piston,Producto,,2507119217877|2507071637503,3,10,0,16.0,0,1,0,1,0,1,Llaveros  piston,2,,,,,
Llaveros  Santa muerte,Producto,,2507071637350,0,11.5,0,22.0,0,1,0,1,0,1,Llaveros  Santa muerte,2,,,,,
Maquinaria Reloj,Producto,,2507904073685,pcs,26.6,0,50.0,0,1,0,1,0,1,Maquinaria Reloj,1,,,,,
NAIPE CORTE FANTASMA GRIS,Producto,504,2507071638425,pcs,100,0,150.0,0,1,0,1,0,1,Neipe De corte fantasma,1,,2,4,1,2
DESTAPADOR NAIPE GRABADO GRIS,Producto,503,2507575189583,pcs,30,200,90.0,0,1,0,1,0,1,Neipe Grabado Gris,1,,2,4,1,2
DESTAPADOR NAIPE GRABADO NEGRO,Producto,502,2507899849033,pcs,30,0,90.0,0,1,0,1,0,1,Neipe Grabado negro,6,,3,5,1,4
Pantalones Hombre (32),Producto,,2507473434268,pcs,150,63.3333,245.0,0,1,0,1,0,1,Pantalones Hombre (32),3,,,,,
Pantalones Hombre (34),Producto,,2507017331614,pcs,150,63.3333,245.0,0,1,0,1,0,1,Pantalones Hombre (34),4,,,,,
Pantalones Hombre (36),Producto,,2507869656311,pcs,150,63.3333,245.0,0,1,0,1,0,1,Pantalones Hombre (36),3,,,,,
Pantalones Mujer (11),Producto,,2507071639125,pcs,150,63.3333,245.0,0,1,0,1,0,1,Pantalones Mujer (11),3,,,,,
Pantalones Mujer (7),Producto,,2507071639156,pcs,150,63.3333,245.0,0,1,0,1,0,1,Pantalones Mujer (7),6,,,,,
Pantalones Mujer (9),Producto,,2507071639194,pcs,150,63.3333,245.0,0,1,0,1,0,1,Pantalones Mujer (9),7,,,,,
ARETES (POR PIEZA),Producto,,2507304549589,pcs,3.9,105.1282,8.0,0,1,0,1,0,1,ARETES,-6,,,,,
ARETES FALSOS (POR  PIEZA),Producto,,2507278898222,pcs,4.3,86.0465,8.0,0,1,0,1,0,1,ARETES FALSOS,6,,,,,
Pins  fantasmas,Producto,,2507071639231|2507328549718,pcs,60,0,150.0,0,1,0,1,0,1,Pins  fantasmas,1,,,,,
Pinzas Seguridad,Producto,,2507597249899,pcs,7.9,0,10.0,0,1,0,1,0,1,Pinzas Seguridad,4,,,,,
Placa DTF fantasmas,Producto,,2507071639385,pcs,40,0,75.0,0,1,0,1,0,0,Placa DTF fantasmas,1,,,,,
Placa negra fantasmas,Producto,,2507071639422,pcs,40,0,150.0,0,1,0,1,0,1,Placa negra fantasmas,4,,,,,
playeras MANGA LARGA CH M G,Producto,,2507662941666|2507161942555|2507171301144|2507171340556,pcs,100,0,128.0,0,1,0,1,0,1,playeras MANGA LARGA CH M G,13,,,,,
PORTALLAVES GRABADO,Producto,508,2507071639460,pcs,200,0,400.0,0,1,0,1,0,1,Portallaves Grabado,4,,1,2,1,1
Pulceras Negra,Producto,93,2507573502033,pcs,10,5,20.0,0,1,0,1,0,1,Pulceras Negra,1,,1,1,0,0
Pulceras Calaberas,Producto,,2507412937058,pcs,70,0,120.0,0,1,0,1,0,1,Pulceras Calaberas,0,,,,,
pulceras De piel,Producto,,2507071641036|2507714469284,pcs,10,0,20.0,0,1,0,1,0,1,pulceras De piel,1,,,,,
pulceras de piel con cadenas,Producto,,2507669590785,pcs,16.5,136.3636,39.0,0,1,0,1,0,1,pulceras de piel con cadenas,8,,,,,
Pulceras De piel con figuras,Producto,,2507071639545|2507183636358,pcs,5,0,15.0,0,1,0,1,0,1,Pulceras De piel con figuras,2,,,,,
pulceras Diablos,Producto,,2507071641074,pcs,50,0,100.0,0,1,0,1,0,1,pulceras Diablos,3,,,,,
PULSERA FANTASMA,Producto,511,2507453081791,pcs,90,66.6667,150.0,0,1,0,1,0,1,pulceras fantasmas,15,,2,4,1,1
Red Elastica,Producto,,2507071639590,pcs,64.12,0,90.0,0,1,0,1,0,1,Red Elastica,5,,,,,
"Rollo de luz Azul,Rojo,Verde,Amarillo",Producto,,2507524448876,pcs,100,0,180.0,0,1,0,1,0,1,"Rollo de luz Azul,Rojo,Verde,Amarillo",4,,,,,
Sensor  Touch,Producto,,2507519031547,pcs,89,0,90.0,0,1,0,1,0,1,Sensor  Touch,5,,,,,
Sudaderas Cuello Redondo,Producto,,2507490503353,pcs,185,0,205.0,0,1,0,1,0,1,Sudaderas Cuello Redondo,2,,,,,
suderas cangurera con capucha,Producto,,2507357027518,pcs,255,0,258.0,0,1,0,1,0,1,suderas cangurera con capucha,1,,3,2,1,2
Buff Fantasmas,Producto,107,2507524966134,pcs,100,50,150.0,0,1,1,1,0,1,Buff Fantasmas,4,,,,,
Gaban Fantasmas,Producto,108,2507535588912,pcs,280,35.7143,380.0,0,0,0,1,0,1,Gaban Fantasmas,2,Unknown,0,0,0,0
Toallas Fantasmas,Producto,109,2507814640045,pcs,150,46.6667,220.0,0,0,0,1,0,1,Toallas Fantasmas,2,,,,,
Paliacates Fantasmas Cabeza,Producto,110,2507371535505,pcs,60,41.6667,85.0,0,1,1,1,0,1,Paliacates Fantasmas Cabeza,10,,,,,
Paliacate Fantasmas Boca,Producto,111,2507183585961,pcs,50,70,85.0,0,1,1,1,0,1,Paliacate Fantasmas Boca,7,,,,,
negro 6,Jordan,140,2507335547148,pcs,550,0,850.0,0,1,1,1,0,0,negro 6,0,,,,,
blanco 6,Jordan,142,2507809589588,pcs,550,0,850.0,0,1,1,1,0,1,blanco 6,1,,,,,
Blanco con Dorado 5,Jordan,143,2507677618748,pcs,550,0,850.0,0,1,1,1,0,1,Blanco con Dorado 5,0,,,,,
Blanco con Dorado 4,Nike,152,2507858654032,pcs,550,0,850.0,0,1,1,1,0,1,Blanco con Dorado 4,1,,,,,
